split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
safety,q5,4991,0.1966664039719442,249,0.049889801642957324,-0.6063553094863892,-0.48298514187335967,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
test,q1,23370,0.1919727935861208,1152,0.049293966623876764,-0.4418698975953927,-0.37571059376001315,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
test,q2,23051,0.1893523690609187,1312,0.05691727040041647,-0.41520819067955017,-0.34073078632354736,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
test,q3,24066,0.19769008345928896,1457,0.060541843264356354,-0.3993757963180542,-0.32263153642416004,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
test,q4,24682,0.20275021357692055,1375,0.05570861356454096,-0.4005228579044342,-0.30654181122779844,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
test,q5,26567,0.218234540316751,1198,0.04509353709489216,-0.6063553094863892,-0.5072706925868988,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
fit,all,73447,1.0,7344,0.09999046931801163,-0.46976378560066223,-0.35561149895191213,[],False,global_safe,0.1
safety,all,25378,1.0,2489,0.09807707463157066,-0.46976378560066223,-0.35329012960195544,[],False,global_safe,0.1
test,all,121736,1.0,11611,0.09537852401918906,-0.46976378560066223,-0.3399116531014443,[],False,global_safe,0.1
fit,low,36600,0.4983185153920514,3511,0.09592896174863388,-0.45145538449287415,-0.34870307505130765,[0.54886115],False,fiqa_s_2bin,0.1
fit,high,36847,0.5016814846079486,3679,0.09984530626645317,-0.4927895176258474,-0.3673445105552673,[0.54886115],False,fiqa_s_2bin,0.1
safety,low,12634,0.49783276853968006,1263,0.09996833940161469,-0.45145538449287415,-0.3463413119316101,[0.54886115],False,fiqa_s_2bin,0.1
safety,high,12744,0.5021672314603199,1190,0.09337727558066541,-0.4927895176258474,-0.36319839745759985,[0.54886115],False,fiqa_s_2bin,0.1
test,low,59869,0.4917937175527371,5734,0.09577577711336417,-0.45145538449287415,-0.33229095458984376,[0.54886115],False,fiqa_s_2bin,0.1
test,high,61867,0.508206282447263,5730,0.09261803546317099,-0.4927895176258474,-0.349882917404175,[0.54886115],False,fiqa_s_2bin,0.1
fit,low,36880,0.5021307881874004,3688,0.1,-0.4592474699020386,-0.35889504909515385,[0.5589450499999999],False,fiqa_l_2bin,0.1
fit,high,36567,0.4978692118125996,3545,0.0969453332239451,-0.48511436581611633,-0.351945077776909,[0.5589450499999999],False,fiqa_l_2bin,0.1
safety,low,12160,0.4791551737725589,1175,0.09662828947368421,-0.4592474699020386,-0.36041500657796877,[0.5589450499999999],False,fiqa_l_2bin,0.1
safety,high,13218,0.5208448262274411,1321,0.09993947647147829,-0.48511436581611633,-0.3478187423944474,[0.5589450499999999],False,fiqa_l_2bin,0.1
test,low,58258,0.4785601629756194,5839,0.100226578324007,-0.4592474699020386,-0.34700674057006836,[0.5589450499999999],False,fiqa_l_2bin,0.1
test,high,63478,0.5214398370243807,5567,0.0876996754781184,-0.48511436581611633,-0.3314303037524224,[0.5589450499999999],False,fiqa_l_2bin,0.1
