regime,seed,target_fpir,method,reference_split,test_minus_reference,mixture_component,within_group_component
full_calibration,10,0.01,fiqa_s,safety,0.0062182378048198225,2.2628706830235456e-05,0.006195609097989588
full_calibration,10,0.01,fiqa_l,safety,0.006246440920310643,-8.674091127728762e-05,0.006333181831587929
full_calibration,10,0.05,global_empirical,safety,0.004905016336086483,0.0,0.004905016336086483
full_calibration,10,0.05,global_safe,safety,0.00493657366490443,0.0,0.00493657366490443
full_calibration,10,0.05,fiqa_s,safety,0.005807036459215632,3.9787233262723594e-05,0.0057672492259529095
full_calibration,10,0.05,fiqa_l,safety,0.0051730825946654305,-0.0002225733220581202,0.005395655916723553
full_calibration,10,0.1,global_empirical,safety,-0.0029992429840672713,0.0,-0.0029992429840672713
full_calibration,10,0.1,global_safe,safety,-0.002668541081487036,0.0,-0.002668541081487036
full_calibration,10,0.1,fiqa_s,safety,-0.001420348368629698,6.72816684853016e-05,-0.0014876300371149931
full_calibration,10,0.1,fiqa_l,safety,-0.0025679820342320026,-0.00018096537629369233,-0.0023870166579383007
full_calibration,11,0.01,global_empirical,safety,0.006556234323587705,0.0,0.006556234323587705
full_calibration,11,0.01,global_safe,safety,0.006235250258826651,0.0,0.006235250258826651
full_calibration,11,0.01,fiqa_s,safety,0.005365762390998879,-1.4907735745364283e-06,0.0053672531645734154
full_calibration,11,0.01,fiqa_l,safety,0.0062282960105248635,6.815946336155592e-06,0.006221480064188708
full_calibration,11,0.05,global_empirical,safety,0.009387487367557831,0.0,0.009387487367557831
full_calibration,11,0.05,global_safe,safety,0.009786892857754872,0.0,0.009786892857754872
full_calibration,11,0.05,fiqa_s,safety,0.009149919961265504,-5.4223265970669296e-06,0.009155342287862574
full_calibration,11,0.05,fiqa_l,safety,0.009101285984689948,2.1221937749203463e-05,0.009080064046940743
full_calibration,11,0.1,global_empirical,safety,0.00373981042608941,0.0,0.00373981042608941
full_calibration,11,0.1,global_safe,safety,0.00436924471149272,0.0,0.00436924471149272
full_calibration,11,0.1,fiqa_s,safety,0.004137955667644022,-7.515198167671981e-06,0.004145470865811691
full_calibration,11,0.1,fiqa_l,safety,0.0033689664572630618,-2.3519307715013683e-05,0.003392485764978084
full_calibration,12,0.01,global_empirical,safety,0.004011699466899233,0.0,0.004011699466899233
full_calibration,12,0.01,global_safe,safety,0.0038593655510350006,0.0,0.0038593655510350006
full_calibration,12,0.01,fiqa_s,safety,0.0039463826866392715,-2.889494617674013e-07,0.003946671636101039
full_calibration,12,0.01,fiqa_l,safety,0.003995669668304516,1.0282118932946087e-06,0.003994641456411221
full_calibration,12,0.05,global_empirical,safety,0.004136325262222712,0.0,0.004136325262222712
full_calibration,12,0.05,global_safe,safety,0.004237676236291954,0.0,0.004237676236291954
full_calibration,12,0.05,fiqa_s,safety,0.0042348992255531945,-3.288866547002502e-06,0.004238188092100196
full_calibration,12,0.05,fiqa_l,safety,0.004266177788472367,0.0001600346434277387,0.004106143145044621
full_calibration,12,0.1,global_empirical,safety,-0.00044241500279258716,0.0,-0.00044241500279258716
full_calibration,12,0.1,global_safe,safety,-0.00030752418563118056,0.0,-0.00030752418563118056
full_calibration,12,0.1,fiqa_s,safety,0.00042883740385914193,-1.0812437635419024e-05,0.0004396498414945659
full_calibration,12,0.1,fiqa_l,safety,-0.0025260036806103586,0.0002639448161337295,-0.0027899484967440855
full_calibration,13,0.01,global_empirical,safety,0.0075819327178523474,0.0,0.0075819327178523474
full_calibration,13,0.01,global_safe,safety,0.007134700824246796,0.0,0.007134700824246796
full_calibration,13,0.01,fiqa_s,safety,0.007095792573545331,9.20282576956032e-06,0.007086589747775771
full_calibration,13,0.01,fiqa_l,safety,0.00724825045830621,5.65870251145941e-07,0.007247684588055064
full_calibration,13,0.05,global_empirical,safety,0.010722505887164932,0.0,0.010722505887164932
full_calibration,13,0.05,global_safe,safety,0.01091475690089544,0.0,0.01091475690089544
full_calibration,13,0.05,fiqa_s,safety,0.010146006276471636,1.2474859724385869e-05,0.010133531416747249
full_calibration,13,0.05,fiqa_l,safety,0.010836466458919114,1.182775131684725e-06,0.010835283683787436
full_calibration,13,0.1,global_empirical,safety,0.0068735680822104295,0.0,0.0068735680822104295
full_calibration,13,0.1,global_safe,safety,0.006949568284409929,0.0,0.006949568284409929
full_calibration,13,0.1,fiqa_s,safety,0.007873446469626871,1.4640920077118344e-05,0.007858805549549756
full_calibration,13,0.1,fiqa_l,safety,0.005538159634605105,9.036629973000875e-07,0.005537255971607791
full_calibration,14,0.01,global_empirical,safety,0.006264044895102423,0.0,0.006264044895102423
