model_family,dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source,evaluation_protocol,model_comparison_scope,checkpoint_training_identity_overlap_status,strict_unseen_identity_evidence,rfw_protocol_variant
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pca,pca_128,463341,512,128,True,reconstruction,0.000225722678947,0.000525478849277,0.335308253514,0.545309550383,0.939632500285,0.854966773295,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pca,pca_256,463341,512,256,True,reconstruction,5.3703414906e-05,0.000136850261766,0.158708279002,0.267886402095,0.986100654648,0.964332506228,0,1024,0,not_applicable,526336,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pca,pca_32,463341,512,32,True,reconstruction,0.000701893063062,0.00126876841551,0.637282774263,0.936897005947,0.794502354438,0.592291029587,0,128,0,not_applicable,67584,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pca,pca_384,463341,512,384,True,reconstruction,1.36309219567e-07,2.72678434386e-07,0.00812225587228,0.0118128139636,0.999965138305,0.999930229524,0,1536,0,not_applicable,788480,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pca,pca_64,463341,512,64,True,reconstruction,0.000455620497654,0.000933829702245,0.494168134672,0.76335297264,0.87283773996,0.722522005859,0,256,0,not_applicable,133120,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.00014267822643,0.000200616376691,0.271996725919,0.325282234274,0.962867412321,0.94756056879,0,128,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000951090076383,0.00135311824242,0.770906413244,0.978153913572,0.712645594562,0.558554766644,0,16,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000760843843879,0.00107544908783,0.671961594865,0.834911523973,0.779547051715,0.671243267003,0,32,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.000454508857685,0.000635007998086,0.501023697165,0.60612775513,0.875719752869,0.821860150377,0,64,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,survface,adaface-4df25b75e065b0b9ed43,20260830-R001-ec6e5d4a,population-2a9bc5280db4a65672a1bbcb,origin-embedding-7a5f92c84e21ab8d839ac76f,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.0010551750944,0.00150441777796,0.824965097107,1.06149673818,0.672812627052,0.487565847001,0,8,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
adaface,rfw_custom,adaface-4df25b75e065b0b9ed43,20260830-R001-9f3f1375,population-67d9072e1a940900ed1ee433,origin-embedding-1d19953bb58acd27f7131f11,pca,pca_128,40520,512,128,True,reconstruction,0.000883943063031,0.00113180591668,0.73743253235,0.865207874259,0.738176732633,0.648481889556,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,RFW-Custom
adaface,rfw_custom,adaface-4df25b75e065b0b9ed43,20260830-R001-9f3f1375,population-67d9072e1a940900ed1ee433,origin-embedding-1d19953bb58acd27f7131f11,pca,pca_256,40520,512,256,True,reconstruction,0.000277919177447,0.000427038772694,0.383571451079,0.486566261739,0.925867238618,0.8839436599,0,1024,0,not_applicable,526336,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,RFW-Custom
adaface,rfw_custom,adaface-4df25b75e065b0b9ed43,20260830-R001-9f3f1375,population-67d9072e1a940900ed1ee433,origin-embedding-1d19953bb58acd27f7131f11,pca,pca_32,40520,512,32,True,reconstruction,0.00159987342518,0.00174349579512,1.13487003635,1.23697217029,0.421386330784,0.327658464129,0,128,0,not_applicable,67584,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,RFW-Custom
adaface,rfw_custom,adaface-4df25b75e065b0b9ed43,20260830-R001-9f3f1375,population-67d9072e1a940900ed1ee433,origin-embedding-1d19953bb58acd27f7131f11,pca,pca_384,40520,512,384,True,reconstruction,2.66906621059e-07,4.32186763919e-07,0.0115350468992,0.0148757064974,0.999931701498,0.999889358718,0,1536,0,not_applicable,788480,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,RFW-Custom
