dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.00839521587698,0.00206874865531,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.821431994438,0.00837878688309,0.00206874865531,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.0454672405862,0.00729854525595,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.781095683575,0.0454425970954,0.00729854525595,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.0931113228626,0.0133392913295,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.755203902721,0.0930620358809,0.0133392913295,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.184259380956,0.0250070337454,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.720822811127,0.184210093974,0.0250070337454,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.278619307354,0.037601575559,1,0.177796534432,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.692354202271,0.278553591378,0.037601575559,1,0.177796534432,True
