dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00519669662215,0.0953538805284,64,524288,3000,716288,238.762666667,0.036164334455,27651.5526988,1905,0.0104578966727,2190,0.0120224638914
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00627244592291,0.0929470329237,128,524288,3000,908288,302.762666667,0.084911015651,11777.0349622,1049,0.0057587053069,1012,0.00555558605394
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00513049666518,0.663813498061,8,524288,3000,548288,182.762666667,0.194629486328,5137.96762694,18,9.88147717104e-05,104096,0.57145680422
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00466709696639,0.348302884931,16,524288,3000,572288,190.762666667,0.193897845838,5157.3548725,241,0.00132301999901,46915,0.257549723044
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00302864803138,0.093193467832,32,524288,3000,620288,206.762666667,0.192007318881,5208.13480356,4881,0.0267952722621,4699,0.025796145126
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00175429885971,0.0205280278636,64,524288,3000,716288,238.762666667,0.191467712822,5222.81268867,13604,0.0746820085749,5,2.74485476973e-05
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00387269748275,0.0514556088585,128,524288,3000,908288,302.762666667,0.192593155979,5192.29250342,7821,0.0429350183082,10,5.48970953947e-05
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00092679939758,0.0943599263981,8,524288,3000,548288,182.762666667,0.194629486328,5137.96762694,8688,0.0476945964789,8462,0.046453922123
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00183704880592,0.0960767562594,16,524288,3000,572288,190.762666667,0.193897845838,5157.3548725,6429,0.0352933426292,6648,0.0364955890184
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00302864803138,0.0930209633962,32,524288,3000,620288,206.762666667,0.192007318881,5208.13480356,4890,0.026844679648,4679,0.0256863509352
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00423679724608,0.0907948347243,64,524288,3000,716288,238.762666667,0.191467712822,5222.81268867,3458,0.0189834155875,2859,0.0156950795733
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00580904622412,0.0913944930012,128,524288,3000,908288,302.762666667,0.192593155979,5192.29250342,1784,0.00979364181841,1491,0.00818515692335
