compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8176113367080688,0.00011500295721889991,6.850891985236916e-05,0.0001930443928440722,0,0.0,0.16127964516823065,121736,1247,14,14,120489,0,1233,-0.010128474732207399,-0.010703694880725504,-0.009545245449168693,60423,True,0,0,-0.0101284747322074,0.0
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.7693675756454468,0.009315239534730893,0.008790870350450203,0.009870575496669285,91,0.0015060490210681364,0.16127964516823065,121736,1247,1134,802,120157,332,445,-0.0009282381546954064,-0.001371820989682592,-0.0004756193730695977,60423,True,184,148,-0.0101284747322074,0.009200236577511994
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7799594402313232,0.004591903791811789,0.004227437592853467,0.004987634854897044,39,0.0006454495804577728,0.16127964516823065,121736,5735,559,558,116000,1,5177,-0.04251823618321614,-0.043651836761516724,-0.04134356312019452,60423,True,1,0,-0.04251823618321614,0.0
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7376887798309326,0.044226851547611225,0.04308622311303642,0.04539624351202766,350,0.005792496234877448,0.16127964516823065,121736,5735,5384,4266,114883,1118,1469,-0.002883288427416705,-0.003721167115725833,-0.0020944913583492157,60423,True,578,540,-0.04251823618321614,0.039634947755799434
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7557207345962524,0.019755865150818164,0.018989160040930354,0.020552878137663863,176,0.0029127981066812306,0.16127964516823065,121736,11165,2405,2403,110569,2,8762,-0.07195899323125451,-0.07349530952224487,-0.07043109679963198,60423,True,0,2,-0.07195899323125451,0.0
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7172282338142395,0.0880676217388447,0.08648864728367305,0.08967259296301229,613,0.010145143405656787,0.16127964516823065,121736,11165,10721,8891,108741,1830,2274,-0.0036472366432279686,-0.0046496106328448444,-0.0026202191627784726,60423,True,841,989,-0.07195899323125451,0.06831175658802655
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7210968732833862,0.07853880528356444,0.07704087905608685,0.08006332963708891,552,0.00913559406186386,0.16127964516823065,121736,22313,9561,9522,99384,39,12791,-0.1047512650325294,-0.10644345140303607,-0.10295229020174805,60423,True,19,20,-0.1047512650325294,0.0
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.6888172030448914,0.17728527304987843,0.17515010902298875,0.17944080338116866,1207,0.01997583701570594,0.16127964516823065,121736,22313,21582,18840,96681,2742,3473,-0.006004797266215417,-0.0072127390418610755,-0.0046902723927186715,60423,True,1131,1611,-0.1047512650325294,0.09874646776631399
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.6924573183059692,0.1635670631530525,0.16149989284806188,0.16565546550923255,1125,0.018618737897820366,0.16127964516823065,121736,33867,19912,19727,87684,185,14140,-0.11463330485641059,-0.11641646678057435,-0.11271932706841033,60423,True,78,107,-0.11463330485641063,0.0
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.6653309464454651,0.27172734441742785,0.2692356571120456,0.2742334378530597,1827,0.030236830346060273,0.16127964516823065,121736,33867,33079,29699,84489,3380,4168,-0.006473023592035223,-0.007861889662877044,-0.005084773608464217,60423,True,1436,1944,-0.11463330485641063,0.10816028126437535
