method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_safe,0.3,conditional-threshold-a7c89b546d78fe387c6d902c,all,67064,31761,-0.4784312844276428,1.0,-0.4784312844276428,-0.4798285663127899,-0.4784312844276428,False,0.29999701777406657,0.29772362331160857,True,True,0
fiqa_s,0.3,conditional-threshold-c5359a075a8e848e5e34b207,low,33340,15435,-0.44578683376312256,0.9940369707811568,-0.44578683376312256,-0.4418635666370392,-0.4418635666370392,False,0.29388122375524894,0.2999676060900551,True,True,0
fiqa_s,0.3,conditional-threshold-c5359a075a8e848e5e34b207,high,33724,16326,-0.5209783911705017,0.99410446881264,-0.5207275533757673,-0.5297220349311829,-0.5207275533757673,False,0.29963823982920174,0.2880681122136469,True,True,0
fiqa_l,0.3,conditional-threshold-9f05d80310f064bb2bfda538,low,33776,15462,-0.43043795228004456,0.9941134918766188,-0.43043795228004456,-0.42365074157714844,-0.42365074157714844,False,0.2867420653718617,0.29996119518820336,True,True,0
fiqa_l,0.3,conditional-threshold-9f05d80310f064bb2bfda538,high,33288,16299,-0.5506942272186279,0.9940277114190158,-0.550262652070569,-0.5651537179946899,-0.550262652070569,False,0.29920692141312183,0.2798331185962329,True,True,0
global_empirical,0.01,conditional-threshold-8c7be65c0da6d111d53bcfbf,all,98825,0,-0.16620007157325745,1.0,-0.16620007157325745,,-0.16620007157325745,False,0.009997470275739944,,True,,1
global_safe,0.01,conditional-threshold-a33fdc87ecd16a409a1b5970,all,69704,29121,-0.16713979840278625,1.0,-0.16713979840278625,-0.16197536885738373,-0.16197536885738373,False,0.008794330311029497,0.009992788709178944,True,True,1
fiqa_s,0.01,conditional-threshold-af9952c5b8c6e33982bad74d,low,34287,14977,-0.1654440015554428,0.9942007133122626,-0.1654440015554428,-0.16260549426078796,-0.16260549426078796,False,0.00930381777350016,0.009948587834679843,True,True,1
fiqa_s,0.01,conditional-threshold-af9952c5b8c6e33982bad74d,high,35417,14144,-0.16943493485450745,0.9943847039335149,-0.16942204698381805,-0.1612134724855423,-0.1612134724855423,False,0.008329333370980038,0.009968891402714931,True,True,1
fiqa_l,0.01,conditional-threshold-a64c9fbdf1e11efef3918870,low,34849,14598,-0.1573016196489334,0.9942937031013723,-0.1573016196489334,-0.14840959012508392,-0.14840959012508392,False,0.007805102011535481,0.009932867516098096,True,True,1
fiqa_l,0.01,conditional-threshold-a64c9fbdf1e11efef3918870,high,34855,14523,-0.1816575527191162,0.9942946797889032,-0.1815747242819955,-0.17474497854709625,-0.17474497854709625,False,0.008291493329507961,0.009984163051711079,True,True,1
global_empirical,0.05,conditional-threshold-a0247621dd85386ef0ab3f36,all,98825,0,-0.2576870024204254,1.0,-0.2576870024204254,,-0.2576870024204254,False,0.04999747027573995,,True,,1
global_safe,0.05,conditional-threshold-db6fe492dc6e4284f614417f,all,69704,29121,-0.25832897424697876,1.0,-0.25832897424697876,-0.2558903396129608,-0.2558903396129608,False,0.04828991162630552,0.04999828302599499,True,True,1
fiqa_s,0.05,conditional-threshold-0b17557bcb7d03463bd5eb39,low,34287,14977,-0.24714303016662598,0.9942007133122626,-0.24714303016662598,-0.24899889528751373,-0.24714303016662598,False,0.04998979204946481,0.048607865393603525,True,True,1
fiqa_s,0.05,conditional-threshold-0b17557bcb7d03463bd5eb39,high,35417,14144,-0.27326300740242004,0.9943847039335149,-0.2731791483847855,-0.2646715044975281,-0.2646715044975281,False,0.044893695118163594,0.04998585972850679,True,True,1
fiqa_l,0.05,conditional-threshold-3f8e0f9c5a51997d063fb7c5,low,34849,14598,-0.24054598808288574,0.9942937031013723,-0.24054598808288574,-0.2430492788553238,-0.24054598808288574,False,0.049987087147407384,0.04829428688861488,True,True,1
fiqa_l,0.05,conditional-threshold-3f8e0f9c5a51997d063fb7c5,high,34855,14523,-0.28579044342041016,0.9942946797889032,-0.28563376694530856,-0.27354374527931213,-0.27354374527931213,False,0.04329364510113327,0.049989671555463744,True,True,1
global_empirical,0.1,conditional-threshold-cf47125892210b9737300ec4,all,98825,0,-0.31927984952926636,1.0,-0.31927984952926636,,-0.31927984952926636,False,0.0999949405514799,,True,,1
