reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
fiqa_s_5bin,fiqa_l_5bin,0.2,tpir_at_rank_k,1277,1348,996,60423,0.0011750492362179964,-0.00036307865096095704,0.00268526680808358,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.2,fpir,22416,22223,19825,121736,-0.0015853979102319774,-0.0027602763356772025,-0.0004187339817309599,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.2,tpir_at_rank_k,1286,1277,1153,60423,-0.00014894990318256292,-0.0008902176464529604,0.0005901808672388608,mated_identity_cluster,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.2,fpir,21904,22168,17028,121736,0.002168627193270684,0.0005912384175593091,0.0038774479200893728,query,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.2,tpir_at_rank_k,1316,1348,984,60423,0.0005295996557602237,-0.001374880858132759,0.002377381796111741,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.3,fpir,34110,34105,29874,121736,-4.1072484721035685e-05,-0.0014868239469014919,0.0015036636656371141,query,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.3,tpir_at_rank_k,1935,1892,1684,60423,-0.0007116495374278007,-0.001860643209915785,0.00031790375605413994,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.3,fpir,34027,34105,29833,121736,0.0006407307616481567,-0.0008789511730301637,0.002168832555694288,query,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.3,tpir_at_rank_k,1930,1892,1682,60423,-0.0006288995912152657,-0.00176084030842449,0.000398539826185492,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.3,fpir,34110,33455,28774,121736,-0.005380495498455674,-0.006982322402576066,-0.0037127472563580214,query,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.3,tpir_at_rank_k,1935,1963,1656,60423,0.00046339969879019576,-0.0007013783277616344,0.0017176034448536438,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.3,fpir,34027,33455,28753,121736,-0.004698692252086482,-0.006276081027797857,-0.003071811132286261,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.3,tpir_at_rank_k,1930,1963,1655,60423,0.0005461496450027307,-0.0006177339182532994,0.001806671794760037,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.3,fpir,34110,33770,29218,121736,-0.0027929289610304263,-0.004394755865150818,-0.001199111191430638,query,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.3,tpir_at_rank_k,1935,1908,1645,60423,-0.0004468497095476888,-0.0020507145921099916,0.0011682572829503398,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.3,fpir,34027,33770,29185,121736,-0.002111125714661234,-0.003655451140172176,-0.0004678156009725987,query,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.3,tpir_at_rank_k,1930,1908,1644,60423,-0.0003640997633351538,-0.0019647155675955796,0.0012866346500328351,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.3,fpir,34110,33869,27354,121736,-0.00197969376355392,-0.003910305907866202,8.419859367811194e-06,query,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.3,tpir_at_rank_k,1935,2035,1546,60423,0.0016549989242506992,-0.0006275638624639559,0.003926573047863294,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.3,fpir,34027,33869,27352,121736,-0.0012978905171847277,-0.003203859170664388,0.0006818032463691923,query,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.3,tpir_at_rank_k,1930,2035,1546,60423,0.0017377488704632342,-0.0005470013540665033,0.004011906929169737,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.3,fpir,34105,33455,29067,121736,-0.005339423013734639,-0.006875944667148583,-0.0038033120851679045,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.3,tpir_at_rank_k,1892,1963,1684,60423,0.0011750492362179964,0.00015287407466464293,0.002280235949479804,mated_identity_cluster,2000,8972,False,none,0
