method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_s_5bin,0.2,q5,20,-0.6927177125618738,-0.6888728181031262,-0.6867751746657766,-0.6848164346252517,-0.6723759770393372,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.3,q1,20,-0.5926002264022827,-0.5914794206619263,-0.5893995761871338,-0.5867905169725418,-0.5755075812339783,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.3,q2,20,-0.6052272915840149,-0.6048090606927872,-0.6029177010059357,-0.5986706614494324,-0.589364230632782,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.3,q3,20,-0.6238839626312256,-0.623001754283905,-0.6208602786064148,-0.6196055263280869,-0.6090482473373413,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.3,q4,20,-0.6511409301733363,-0.6493638942874803,-0.6486166391567081,-0.6458784078255595,-0.6316251754760742,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.3,q5,20,-0.7669007719519484,-0.7643574671947977,-0.7612929627181483,-0.7585837235365447,-0.748358964920044,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
global_empirical,0.01,all,20,-0.3938274681568146,-0.3938274681568146,-0.3938274681568146,-0.3938274681568146,-0.3938274681568146,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.05,all,20,-0.46756935119628906,-0.46756935119628906,-0.46756935119628906,-0.46756935119628906,-0.46756935119628906,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.1,all,20,-0.5153154730796814,-0.5153154730796814,-0.5153154730796814,-0.5153154730796814,-0.5153154730796814,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.2,all,20,-0.5816303491592407,-0.5816303491592407,-0.5816303491592407,-0.5816303491592407,-0.5816303491592407,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.3,all,20,-0.6369486451148987,-0.6369486451148987,-0.6369486451148987,-0.6369486451148987,-0.6369486451148987,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_safe,0.01,all,20,-0.393700510263443,-0.39318881183862686,-0.3911605626344681,-0.3905174136161804,-0.38260725140571594,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.05,all,20,-0.4674089848995209,-0.46646204590797424,-0.46597421169281006,-0.46480051428079605,-0.45573490858078003,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.1,all,20,-0.5151809453964233,-0.5140391141176224,-0.5131556987762451,-0.5121311247348785,-0.5031612515449524,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.2,all,20,-0.5815895199775696,-0.5805014073848724,-0.5793882608413696,-0.5767210423946381,-0.5679022669792175,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.3,all,20,-0.6368898749351501,-0.6359559893608093,-0.6347308456897736,-0.631035327911377,-0.6199089288711548,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
